Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,China,Unknown Technology Sub-Type ,15,60
2011,Lead-acid battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,150,138
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,6000,36000
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,4000,16000
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,2000
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,3000,9000
2011,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,China,Vanadium redox flow battery,2000,8000
2011,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,United States,Sodium-nickel-chloride battery,402,281.4
2011,Lithium-ion battery,Sweden,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Sweden,Unknown Technology Sub-Type ,75,75
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,7020,10530
2012,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-ion battery,United States,Sodium-ion battery,15,60
2012,Sodium-based battery,France,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,France,Sodium-nickel-chloride battery,120,140.4
2012,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,United States,Sodium-nickel-chloride battery,25,50
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,1125,506.25
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,1500
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,3000
2012,Hydrogen storage,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,150,0
2012,Flow battery,India,Electro-chemical battery and chemical storage,Vanadium redox flow battery,India,Vanadium redox flow battery,45,300.15
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,75,150
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,75,114.75
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,90,101.7
2012,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Australia,Zinc-bromine flow battery,200,400
2012,Lithium-ion battery,Spain,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Spain,Unknown Technology Sub-Type ,1000,570
2012,Lead-acid battery,India,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,India,Unknown Technology Sub-Type ,40,0
2012,Lead-acid battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,150,288
2012,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Australia,Zinc-bromine flow battery,100,200
2012,Lithium-ion battery,Chile,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Chile,Unknown Technology Sub-Type ,20000,6600
2012,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,75,75
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,250
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,250
2012,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,250,500
2012,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,125,375
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,1000,2000
2012,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,60,150
2012,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Australia,Zinc-bromine flow battery,90,180
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,10000,7500
2012,Nickel-based battery,United States,Electro-chemical battery and chemical storage,Nickel-iron battery,United States,Nickel-iron battery,48,480
2012,Nickel-based battery,United States,Electro-chemical battery and chemical storage,Nickel-iron battery,United States,Nickel-iron battery,20,200
2012,Nickel-based battery,United States,Electro-chemical battery and chemical storage,Nickel-iron battery,United States,Nickel-iron battery,17,170
2012,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,2000,14000
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,360,900
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,100,100
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,15,15
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,24,48
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,75,150
2012,Lithium-ion battery,Russia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Russia,Unknown Technology Sub-Type ,1500,2505
2012,Lead-acid battery,Japan,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Japan,Hybrid lead-acid battery/electro-chemical capacitor,100,192
2012,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,500,1000
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,3000,750
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,100
2012,Lithium-ion battery,Denmark,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,Denmark,Lithium-ion titanate battery,1200,300
2012,Lithium-ion battery,Denmark,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Denmark,Unknown Technology Sub-Type ,400,100
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United States,Lithium-ion titanate battery,2000,30000
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,1500,375
2012,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,200,6192
2012,Sodium-based battery,Germany,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Germany,Sodium-sulfur battery,1000,6000
2012,Lithium-ion battery,Netherlands,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Netherlands,Unknown Technology Sub-Type ,400,200
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,225,1986.75
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,75,39.75
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,200,500
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,3000,2010
2012,Flow battery,Indonesia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Indonesia,Vanadium redox flow battery,400,500
2012,Lithium-ion battery,Qatar,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Qatar,Lithium-iron phosphate battery,250,500
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,250,750
2012,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,100
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,36000,13320
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United States,Lithium-ion titanate battery,1800,306
2013,Sodium-based battery,France,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,France,Sodium-nickel-chloride battery,20,70
2013,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,3300,1650
2013,Sodium-based battery,Maldives,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Maldives,Sodium-nickel-chloride battery,600,1500
2013,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,United States,Sodium-nickel-chloride battery,50,130
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,72,72
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,125
2013,Hydrogen storage,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,400,400
2013,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,25,50
2013,Electro-chemical capacitor,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,200
2013,Electro-chemical capacitor,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,200
2013,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Lithium polymer battery,Canada,Lithium polymer battery,500,250
2013,Lead-acid battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,45,165.15
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,1250
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,250,125
2013,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,2000,500
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,250,125
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,250,125
2013,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,4000,8000
2013,Sodium-based battery,Canada,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Canada,Sodium-sulfur battery,1000,6500
2013,Hydrogen storage,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,1000,0
2013,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium polymer battery,South Korea,Lithium polymer battery,100,100
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,15,15
2013,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5,10
